Country,LOCATION,MEASURE,TIME,GFCF (mln USD),GFCF in % of GDP,GDP (mln USD),Population2016
Argentina,ARG,MLN_USD,2015,134401.124,15.5647450770354,863497.11051997,43847430
Argentina,ARG,MLN_USD,2014,133869.18,15.9799540764527,837731.94440692,43847430
Argentina,ARG,MLN_USD,2012,130339.744,15.8575254186347,821942.519775712,43847430
Argentina,ARG,MLN_USD,2013,138425.761,16.2895111851898,849784.621688678,43847430
Argentina,ARG,MLN_USD,2011,137514.344,17.2482847013515,797263.880907676,43847430
Argentina,ARG,MLN_USD,2019,135422.135,13.0910931194865,1034460.10019148,43847430
Argentina,ARG,MLN_USD,2016,125379.429,14.2723627542237,878477.033964792,43847430
Argentina,ARG,MLN_USD,2010,122600.737,16.6414661565525,736718.362713051,43847430
Argentina,ARG,MLN_USD,2009,103038.362,15.581752639827,661275.816538338,43847430
Argentina,ARG,MLN_USD,2017,156143.588,15.045281422103,1037824.30929215,43847430
Argentina,ARG,MLN_USD,2018,149493.579,14.4198448709364,1036721.1321483,43847430
Australia,AUS,MLN_USD,2012,277898.697,27.4296445782409,1013132.69374423,24127159
Australia,AUS,MLN_USD,2010,245624.675,27.0949138917516,906534.252078854,24127159
Australia,AUS,MLN_USD,2016,291166.451,25.303453815647998,1150698.45058045,24127159
Australia,AUS,MLN_USD,2013,296971.28,27.8587547931501,1065989.06593276,24127159
Australia,AUS,MLN_USD,2009,244587.733,27.6302330287388,885217.771220384,24127159
Australia,AUS,MLN_USD,2011,272191.873,26.0559274104172,1044644.73174414,24127159
Australia,AUS,MLN_USD,2014,293095.41,26.8843249735695,1090209.29589323,24127159
Australia,AUS,MLN_USD,2015,285071.625,26.2044649732457,1087874.24315304,24127159
Australia,AUS,MLN_USD,2017,307035.543,23.9555189390954,1281690.21836099,24127159
Australia,AUS,MLN_USD,2019,310484.581,23.3076355016264,1332115.31035971,24127159
Australia,AUS,MLN_USD,2018,312711.896,24.3412005103034,1284702.02555388,24127159
Austria,AUT,MLN_USD,2017,113268.388,23.5286754693417,481405.713413791,8747358
Austria,AUT,MLN_USD,2012,88702.598,22.649292785658,391635.177484077,8747358
Austria,AUT,MLN_USD,2013,93628.507,23.0401975609289,406370.243798488,8747358
Austria,AUT,MLN_USD,2018,120476.688,23.94670748331,503103.351823911,8747358
Austria,AUT,MLN_USD,2019,129162.502,24.28882230957,531777.540935399,8747358
Austria,AUT,MLN_USD,2010,75929.042,21.5967237748965,351576.668717956,8747358
Austria,AUT,MLN_USD,2011,83826.572,22.4717154486786,373031.476797777,8747358
Austria,AUT,MLN_USD,2015,97843.59,22.6967074577069,431091.558907044,8747358
Austria,AUT,MLN_USD,2016,106297.465,23.0995457566982,460171.235052,8747358
Austria,AUT,MLN_USD,2014,94507.991,22.6605524717731,417059.518375481,8747358
Austria,AUT,MLN_USD,2009,76590.082,22.4130082617233,341721.562342882,8747358
Belgium,BEL,MLN_USD,2010,96096.335,22.1230869298103,434371.276056022,11348159
Belgium,BEL,MLN_USD,2011,103991.391,23.0103748246525,451932.625141713,11348159
Belgium,BEL,MLN_USD,2009,92950.442,22.7845014096345,407954.689588668,11348159
